no,category_id,tag_id,parent_id,endpoint_id,id,原本位置,title,current_url,layout_id,policy_ids,author_ids,energy_ids,buzzword_ids,ta_ids,need_ids,started,ended,created,updated,deleted
60,policy,law/system/oil,,石油煉製業與輸入業實際應儲備之石油安全存量及計算標準,,,石油煉製業與輸入業實際應儲備之石油安全存量及計算標準,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0130030,content,,,oil,,,,,,,,
61,policy,law/system/oil,,申請經營石油業務規費收費標準,,,申請經營石油業務規費收費標準,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0120037,content,,,oil,,,,,,,,
62,policy,law/system/oil,,石油基金收退費作業要點,,,石油基金收退費作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=625,content,,,oil,,,,,,,,
63,policy,law/system/oil,,石油製品認定基準,,,石油製品認定基準,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=622,content,,,oil,,,,,,,,
64,policy,law/system/oil,,石油業儲油設備設置管理規則,,,石油業儲油設備設置管理規則,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0020039,content,,,oil,,,,,,,,
65,policy,law/system/oil,,自用加儲油加儲氣設施設置管理規則,,,自用加儲油加儲氣設施設置管理規則,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0020041,content,,,oil,,,,,,,,
66,policy,law/system/oil,,漁船用柴油黑色染劑規範,,,漁船用柴油黑色染劑規範,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=626,content,,,oil,,,,,,,,
67,policy,law/system/oil,,航空站商港或工業專用港加儲油加儲氣設施設置管理規則,,,航空站商港或工業專用港加儲油加儲氣設施設置管理規則,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0020038,content,,,oil,,,,,,,,
68,policy,law/system/oil,oil_subsidy,偏遠與原住民族及離島地區石油設施及運輸費用補助辦法,oil_subsidy/偏遠與原住民族及離島地區石油設施及運輸費用補助辦法,,偏遠與原住民族及離島地區石油設施及運輸費用補助辦法,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0020060,nav_content,,,oil,,,,,,,,
69,policy,law/system/oil,oil_subsidy,石油基金獎勵石油開發技術研究發展計畫申請須知,oil_subsidy/石油基金獎勵石油開發技術研究發展計畫申請須知,,石油基金獎勵石油開發技術研究發展計畫申請須知,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=630,nav_content,,,oil,,,,,,,,
70,policy,law/system/oil,oil_subsidy,石油基金獎勵探勘開發石油及天然氣計畫申請作業要點,oil_subsidy/石油基金獎勵探勘開發石油及天然氣計畫申請作業要點,,石油基金獎勵探勘開發石油及天然氣計畫申請作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=632,nav_content,,,oil,,,,,,,,
71,policy,law/system/oil,oil_subsidy,石油基金獎勵探勘開發石油及天然氣計畫申請須知,oil_subsidy/石油基金獎勵探勘開發石油及天然氣計畫申請須知,,石油基金獎勵探勘開發石油及天然氣計畫申請須知,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=633,nav_content,,,oil,,,,,,,,
72,policy,law/system/oil,oil_subsidy,石油基金獎勵石油開發技術研究發展計畫申請作業要點,oil_subsidy/石油基金獎勵石油開發技術研究發展計畫申請作業要點,,石油基金獎勵石油開發技術研究發展計畫申請作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=629,nav_content,,,oil,,,,,,,,
